,C in fuel,C stored,CO2 intensity,CO2 stored,FOM,VOM,c_b,c_v,capacity,capture rate,capture_rate,compression-electricity-input,compression-heat-output,discount rate,efficiency,efficiency-heat,electricity-input,fuel,heat-input,heat-output,investment,lifetime,min_fill_level,p_nom_ratio,fixed,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
NH3 (l) storage tank incl. liquefaction,,,0,,2,0,,,,,,,,0.07,1,,,0,,,161.93,20,,,18.52364647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH3 (l) transport ship,,,0,,4,0,,,53000,,,,,0.07,1,,,0,,,74461941.34,20,,,10007158.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCGT,,,0,,1.78,4.5,,,,,,,,0.07,0.41,,,0,,,435240,25,,,45095.44152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHS,,,0,,1,0,,,,,,,,0.07,0.75,,,0,,,2208160,80,,,177345.2166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMR,,,0,,5,0,,,,,,,,0.07,0.76,,,0,,,493470.4,30,,,64440.52478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMR CC,,,0,,5,0,,,,,0.9,,,0.07,0.69,,,0,,,572425.66,30,,,74751.00822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steam methane reforming,,,0,,3,0,,,,,,,,0.07,1,,,0,,,470085.47,30,,,51985.06147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
air separation unit,,,0,,3,0,,,,,,,,0.07,1,,,0,,,729306.18,30,,,80651.3475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
battery inverter,,,0,,0.34,0,,,,,,,,0.07,0.96,,,0,,,160000,10,,,23324.40044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
battery storage,,,0,,0,0,,,,,,,,0.07,1,,,0,,,142000,25,,,12185.09345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
